Office No.,Company Name,Company Number,SIC Code,Registered Address,Status,Incorporated,Companies House Search Link,Lookup Priority,Wave Candidate Flag,Wave Detection Method,Confirmation Status,Research Notes
704,,,,"Office 704, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20704%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,86.0,True,office_number_high_range_sequence_inference,pending,
718,,,,"Office 718, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20718%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,85.0,True,office_number_high_range_sequence_inference,pending,
725,,,,"Office 725, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20725%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,84.0,True,office_number_high_range_sequence_inference,pending,
739,,,,"Office 739, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20739%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,83.0,True,office_number_high_range_sequence_inference,pending,
741,,,,"Office 741, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20741%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,82.0,True,office_number_high_range_sequence_inference,pending,
747,,,,"Office 747, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20747%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,81.0,True,office_number_high_range_sequence_inference,pending,
748,,,,"Office 748, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20748%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,80.0,True,office_number_high_range_sequence_inference,pending,
796,,,,"Office 796, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20796%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,79.0,True,office_number_high_range_sequence_inference,pending,
801,,,,"Office 801, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20801%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,78.0,True,office_number_high_range_sequence_inference,pending,
814,,,,"Office 814, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20814%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,77.0,True,office_number_high_range_sequence_inference,pending,
845,,,,"Office 845, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20845%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,76.0,True,office_number_high_range_sequence_inference,pending,
