#,Office No.,Company Name,Company Number,Has Valid Company Number,Incorporated,Status,SIC Code,Registered Address,Address Suffix,Address Exact Street Match,Cash At Bank,Net Assets,Turnover,Investigative Priority,Risk Tier (Objective),Priority Entity,Public Linkage Category,Manual Review Hypothesis (Unverified),Public Evidence Summary,Public Evidence URLs,Review Notes,Companies House Overview URL,Companies House Officers URL,Companies House Filing History URL,Primary OSINT Source,Source,Notes,Office Group Size,2026-04-01 Web Update,2026-04-01 Web Update URLs,Project Dunstall Mirror Mention,Project Dunstall Mirror Notes,Project Dunstall Mirror URL,2026-04-01 Ezone/HopeTex Update,2026-04-01 Ezone/HopeTex Update URLs
1,1,Euddok Ltd,15315743,Yes,2023-11-29,Active,,"Office 1, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15315743,https://find-and-update.company-information.service.gov.uk/company/15315743/officers,https://find-and-update.company-information.service.gov.uk/company/15315743/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
2,2,Thetechcreators Ltd,15315848,Yes,2023-11-29,Active,,"Office 2, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,£1,£1,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15315848,https://find-and-update.company-information.service.gov.uk/company/15315848/officers,https://find-and-update.company-information.service.gov.uk/company/15315848/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
3,3,Pdluxy Ltd,15316165,Yes,2023-11-29,Active,,"Office 3, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15316165,https://find-and-update.company-information.service.gov.uk/company/15316165/officers,https://find-and-update.company-information.service.gov.uk/company/15316165/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
4,4,Shop Exclusive Ltd,15321589,Yes,2023-12-01,Active,,"Office 4, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15321589,https://find-and-update.company-information.service.gov.uk/company/15321589/officers,https://find-and-update.company-information.service.gov.uk/company/15321589/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
5,5,Sale Seekerz Ltd,15327375,Yes,2023-12-04,Active,,"Office 5, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,£1,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15327375,https://find-and-update.company-information.service.gov.uk/company/15327375/officers,https://find-and-update.company-information.service.gov.uk/company/15327375/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
6,6,Go Biotic Ltd,15327913,Yes,2023-12-04,Active,,"Office 6, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15327913,https://find-and-update.company-information.service.gov.uk/company/15327913/officers,https://find-and-update.company-information.service.gov.uk/company/15327913/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
7,7,Primepeak Ltd,15339476,Yes,2023-12-09,Active,,"Office 7, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15339476,https://find-and-update.company-information.service.gov.uk/company/15339476/officers,https://find-and-update.company-information.service.gov.uk/company/15339476/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
8,8,Zingo Writers Ltd,14954896,Yes,2023-06-22,Active,"62020,62090,73110","Office 8, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£2,700",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14954896,https://find-and-update.company-information.service.gov.uk/company/14954896/officers,https://find-and-update.company-information.service.gov.uk/company/14954896/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
9,9,Trendcraft Ltd,15332776,Yes,2023-12-06,Active,,"Office 9, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15332776,https://find-and-update.company-information.service.gov.uk/company/15332776/officers,https://find-and-update.company-information.service.gov.uk/company/15332776/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
10,10,Nyc Writers Ltd,14957480,Yes,2023-06-23,Active,,"Office 10, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,-£265,,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities,https://find-and-update.company-information.service.gov.uk/company/14957480,https://find-and-update.company-information.service.gov.uk/company/14957480/officers,https://find-and-update.company-information.service.gov.uk/company/14957480/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
11,10,Salesynergy Ltd,15332505,Yes,2023-12-06,Active,,"Office 10, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities,https://find-and-update.company-information.service.gov.uk/company/15332505,https://find-and-update.company-information.service.gov.uk/company/15332505/officers,https://find-and-update.company-information.service.gov.uk/company/15332505/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
12,11,Retailrise Ltd,15339603,Yes,2023-12-09,Active,,"Office 11, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15339603,https://find-and-update.company-information.service.gov.uk/company/15339603/officers,https://find-and-update.company-information.service.gov.uk/company/15339603/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
13,12,Salespectra Ltd,15332615,Yes,2023-12-06,Active,,"Office 12, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15332615,https://find-and-update.company-information.service.gov.uk/company/15332615/officers,https://find-and-update.company-information.service.gov.uk/company/15332615/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
14,13,Saleserenity Ltd,15333030,Yes,2023-12-06,Active,,"Office 13, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15333030,https://find-and-update.company-information.service.gov.uk/company/15333030/officers,https://find-and-update.company-information.service.gov.uk/company/15333030/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
15,14,Poshpeak Ltd,15332819,Yes,2023-12-06,Active,,"Office 14, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15332819,https://find-and-update.company-information.service.gov.uk/company/15332819/officers,https://find-and-update.company-information.service.gov.uk/company/15332819/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
16,15,Bingo Writers Ltd,14966696,Yes,2023-06-28,Active,,"Office 15, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,£1,,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities,https://find-and-update.company-information.service.gov.uk/company/14966696,https://find-and-update.company-information.service.gov.uk/company/14966696/officers,https://find-and-update.company-information.service.gov.uk/company/14966696/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
