#,Office No.,Company Name,Company Number,Has Valid Company Number,Incorporated,Status,SIC Code,Registered Address,Address Suffix,Address Exact Street Match,Cash At Bank,Net Assets,Turnover,Investigative Priority,Risk Tier (Objective),Priority Entity,Public Linkage Category,Manual Review Hypothesis (Unverified),Public Evidence Summary,Public Evidence URLs,Review Notes,Companies House Overview URL,Companies House Officers URL,Companies House Filing History URL,Primary OSINT Source,Source,Notes,Office Group Size,Company Number Inference Method,Company Number Confidence,sic_wave_cluster_id,sic_wave_cluster_size,sic_wave_recovery_candidate,formation_sequence_cluster_id,formation_sequence_cluster_size,formation_sequence_recovery_candidate,logistics_api_flag,carrier_api_capability_score,evidence_basis_shipping_layer,shipping_role_category,confidence_level_shipping_layer,Office No Clean,address_cluster_signal,delta_candidate_flag,infrastructure_layer,confidence_level,risk_it_services,risk_seo_agency,risk_logistics_shell,risk_ecommerce_operator,risk_formation_intermediary,risk_payment_linked,risk_telecom_sim_node,risk_shipping_label_node,risk_carrier_account_broker,risk_score_total,risk_level
192.0,228,24/7 Support Private Limited,15707123,Yes,2024-05-07,Active,47910,"Office 228, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,£1,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15707123,https://find-and-update.company-information.service.gov.uk/company/15707123/officers,https://find-and-update.company-information.service.gov.uk/company/15707123/filing-history,Companies House URL ready + open.endole.co.uk,user-provided,Updated address 10 Jan 2026,,none,original_or_unresolved,85.0,97.0,False,22.0,11.0,False,False,0.0,no_indicator,none_detected,LOW,228.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
44.0,54,3d Styles Ltd,14882204,Yes,2023-05-19,Active,58290,"Office 54, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,£1,£1,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14882204,https://find-and-update.company-information.service.gov.uk/company/14882204/officers,https://find-and-update.company-information.service.gov.uk/company/14882204/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,123.0,3.0,False,5.0,3.0,False,False,0.0,no_indicator,none_detected,LOW,54.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
39.0,39,4x Writers Ltd,14750888,Yes,2023-03-23,Active,"62020, 62090","Office 39, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£4,720",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14750888,https://find-and-update.company-information.service.gov.uk/company/14750888/officers,https://find-and-update.company-information.service.gov.uk/company/14750888/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,146.0,10.0,False,3.0,8.0,False,False,0.0,no_indicator,none_detected,LOW,39.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
25.0,23,99dollars Ltd,15349032,Yes,2023-12-13,Active,47910,"Office 23, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15349032,https://find-and-update.company-information.service.gov.uk/company/15349032/officers,https://find-and-update.company-information.service.gov.uk/company/15349032/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,85.0,97.0,False,2.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,23.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
108.0,138,A2zocean Technologies Ltd,15694149,Yes,2024-04-30,Active,"62020, 62090, 73110","Office 138, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15694149,https://find-and-update.company-information.service.gov.uk/company/15694149/officers,https://find-and-update.company-information.service.gov.uk/company/15694149/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,149.0,90.0,False,13.0,8.0,False,False,0.0,no_indicator,none_detected,LOW,138.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,False,False,False,False,False,False,False,False,1.0,LOW
198.0,235,Aamir Maqsood Ltd,15974762,Yes,2024-09-24,Active,"62020, 62090, 73110","Office 235, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15974762,https://find-and-update.company-information.service.gov.uk/company/15974762/officers,https://find-and-update.company-information.service.gov.uk/company/15974762/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,149.0,90.0,False,23.0,9.0,False,False,0.0,no_indicator,none_detected,LOW,235.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
699.0,747,Aan Interprises Ltd,—,No,,Active,,"Office 747, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,74.0,8.0,True,False,0.0,no_indicator,none_detected,LOW,747.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
587.0,625,Abbottabad Ltd,16930345,Yes,2025-12-24,Active,82990,"Office 625, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16930345,https://find-and-update.company-information.service.gov.uk/company/16930345/officers,https://find-and-update.company-information.service.gov.uk/company/16930345/filing-history,Companies House URL ready + open.endole.co.uk,user-provided,Other business support ★ Dec 2025,,none,original_or_unresolved,195.0,3.0,False,62.0,9.0,False,False,0.0,no_indicator,none_detected,LOW,625.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
134.0,168,Abdul Private Limited,15778414,Yes,2024-06-14,Active,"47190, 62020, 73110","Office 168, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£10,384",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15778414,https://find-and-update.company-information.service.gov.uk/company/15778414/officers,https://find-and-update.company-information.service.gov.uk/company/15778414/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,68.0,1.0,False,16.0,8.0,False,False,0.0,no_indicator,none_detected,LOW,168.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
481.0,518,Abdulrehman Ltd,16806592,Yes,2025-10-23,Active,"59112, 73120, 90030","Office 518, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16806592,https://find-and-update.company-information.service.gov.uk/company/16806592/officers,https://find-and-update.company-information.service.gov.uk/company/16806592/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,132.0,4.0,False,51.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,518.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
