Office No Clean,Office No.,Company Name,Company Number,Has Valid Company Number,Incorporated,Status,SIC Code,Registered Address,Address Suffix,Address Exact Street Match,Office Group Size,Cash At Bank,Net Assets,Turnover,Source,Companies House Overview URL,Companies House Officers URL,Companies House Filing History URL,Primary OSINT Source,Investigative Priority,Risk Tier (Objective),Public Linkage Category,Priority Entity,Manual Review Hypothesis (Unverified),Public Evidence Summary,Public Evidence URLs,Review Notes
1,1.0,Euddok Ltd,15315743,Yes,2023-11-29,Active,,"Office 1, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15315743,https://find-and-update.company-information.service.gov.uk/company/15315743/officers,https://find-and-update.company-information.service.gov.uk/company/15315743/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
2,2.0,Thetechcreators Ltd,15315848,Yes,2023-11-29,Active,,"Office 2, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,£1,£1,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15315848,https://find-and-update.company-information.service.gov.uk/company/15315848/officers,https://find-and-update.company-information.service.gov.uk/company/15315848/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
3,3.0,Pdluxy Ltd,15316165,Yes,2023-11-29,Active,,"Office 3, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15316165,https://find-and-update.company-information.service.gov.uk/company/15316165/officers,https://find-and-update.company-information.service.gov.uk/company/15316165/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
4,4.0,Shop Exclusive Ltd,15321589,Yes,2023-12-01,Active,,"Office 4, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15321589,https://find-and-update.company-information.service.gov.uk/company/15321589/officers,https://find-and-update.company-information.service.gov.uk/company/15321589/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
5,5.0,Sale Seekerz Ltd,15327375,Yes,2023-12-04,Active,,"Office 5, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,£1,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15327375,https://find-and-update.company-information.service.gov.uk/company/15327375/officers,https://find-and-update.company-information.service.gov.uk/company/15327375/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
6,6.0,Go Biotic Ltd,15327913,Yes,2023-12-04,Active,,"Office 6, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15327913,https://find-and-update.company-information.service.gov.uk/company/15327913/officers,https://find-and-update.company-information.service.gov.uk/company/15327913/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
7,7.0,Primepeak Ltd,15339476,Yes,2023-12-09,Active,,"Office 7, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15339476,https://find-and-update.company-information.service.gov.uk/company/15339476/officers,https://find-and-update.company-information.service.gov.uk/company/15339476/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
8,8.0,Zingo Writers Ltd,14954896,Yes,2023-06-22,Active,"62020,62090,73110","Office 8, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,"-£2,700",,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14954896,https://find-and-update.company-information.service.gov.uk/company/14954896/officers,https://find-and-update.company-information.service.gov.uk/company/14954896/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
9,9.0,Trendcraft Ltd,15332776,Yes,2023-12-06,Active,,"Office 9, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15332776,https://find-and-update.company-information.service.gov.uk/company/15332776/officers,https://find-and-update.company-information.service.gov.uk/company/15332776/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
10,10.0,Nyc Writers Ltd,14957480,Yes,2023-06-23,Active,,"Office 10, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,2,,-£265,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14957480,https://find-and-update.company-information.service.gov.uk/company/14957480/officers,https://find-and-update.company-information.service.gov.uk/company/14957480/filing-history,Companies House URL ready + open.endole.co.uk,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities
10,10.0,Salesynergy Ltd,15332505,Yes,2023-12-06,Active,,"Office 10, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,2,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15332505,https://find-and-update.company-information.service.gov.uk/company/15332505/officers,https://find-and-update.company-information.service.gov.uk/company/15332505/filing-history,Companies House URL ready + open.endole.co.uk,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities
11,11.0,Retailrise Ltd,15339603,Yes,2023-12-09,Active,,"Office 11, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15339603,https://find-and-update.company-information.service.gov.uk/company/15339603/officers,https://find-and-update.company-information.service.gov.uk/company/15339603/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
12,12.0,Salespectra Ltd,15332615,Yes,2023-12-06,Active,,"Office 12, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15332615,https://find-and-update.company-information.service.gov.uk/company/15332615/officers,https://find-and-update.company-information.service.gov.uk/company/15332615/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
13,13.0,Saleserenity Ltd,15333030,Yes,2023-12-06,Active,,"Office 13, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15333030,https://find-and-update.company-information.service.gov.uk/company/15333030/officers,https://find-and-update.company-information.service.gov.uk/company/15333030/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
14,14.0,Poshpeak Ltd,15332819,Yes,2023-12-06,Active,,"Office 14, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15332819,https://find-and-update.company-information.service.gov.uk/company/15332819/officers,https://find-and-update.company-information.service.gov.uk/company/15332819/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
15,15.0,Bingo Writers Ltd,14966696,Yes,2023-06-28,Active,,"Office 15, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,2,,£1,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14966696,https://find-and-update.company-information.service.gov.uk/company/14966696/officers,https://find-and-update.company-information.service.gov.uk/company/14966696/filing-history,Companies House URL ready + open.endole.co.uk,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities
15,15.0,Vivavalue Ltd,15332937,Yes,2023-12-06,Active,,"Office 15, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,2,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15332937,https://find-and-update.company-information.service.gov.uk/company/15332937/officers,https://find-and-update.company-information.service.gov.uk/company/15332937/filing-history,Companies House URL ready + open.endole.co.uk,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities
16,16.0,Rank Digital Pro Ltd,15343068,Yes,2023-12-11,Active,,"Office 16, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15343068,https://find-and-update.company-information.service.gov.uk/company/15343068/officers,https://find-and-update.company-information.service.gov.uk/company/15343068/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
17,17.0,Trendvista Ltd,15342639,Yes,2023-12-11,Active,,"Office 17, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15342639,https://find-and-update.company-information.service.gov.uk/company/15342639/officers,https://find-and-update.company-information.service.gov.uk/company/15342639/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
18,18.0,Luxecraft Ltd,15342731,Yes,2023-12-11,Active,,"Office 18, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15342731,https://find-and-update.company-information.service.gov.uk/company/15342731/officers,https://find-and-update.company-information.service.gov.uk/company/15342731/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
19,19.0,Packify Limited,15341728,Yes,2023-12-11,Active,,"Office 19, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15341728,https://find-and-update.company-information.service.gov.uk/company/15341728/officers,https://find-and-update.company-information.service.gov.uk/company/15341728/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
21,21.0,Lucky Rank Ltd,15345507,Yes,2023-12-12,Active,,"Office 21, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,2,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15345507,https://find-and-update.company-information.service.gov.uk/company/15345507/officers,https://find-and-update.company-information.service.gov.uk/company/15345507/filing-history,Companies House URL ready + open.endole.co.uk,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities
21,21.0,Shops Sync Ltd,15094671,Yes,2023-08-24,Active,,"Office 21, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,2,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15094671,https://find-and-update.company-information.service.gov.uk/company/15094671/officers,https://find-and-update.company-information.service.gov.uk/company/15094671/filing-history,Companies House URL ready + open.endole.co.uk,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities
22,22.0,Pixrox Ltd,15339585,Yes,2023-12-09,Active,,"Office 22, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15339585,https://find-and-update.company-information.service.gov.uk/company/15339585/officers,https://find-and-update.company-information.service.gov.uk/company/15339585/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
