#,Office No.,Company Name,Company Number,Has Valid Company Number,Incorporated,Status,SIC Code,Registered Address,Address Suffix,Address Exact Street Match,Cash At Bank,Net Assets,Turnover,Investigative Priority,Risk Tier (Objective),Priority Entity,Public Linkage Category,Manual Review Hypothesis (Unverified),Public Evidence Summary,Public Evidence URLs,Review Notes,Companies House Overview URL,Companies House Officers URL,Companies House Filing History URL,Primary OSINT Source,Source,Notes,Office Group Size,Company Number Inference Method,Company Number Confidence,sic_wave_cluster_id,sic_wave_cluster_size,sic_wave_recovery_candidate,formation_sequence_cluster_id,formation_sequence_cluster_size,formation_sequence_recovery_candidate,logistics_api_flag,carrier_api_capability_score,evidence_basis_shipping_layer,shipping_role_category,confidence_level_shipping_layer,Office No Clean,address_cluster_signal,delta_candidate_flag,infrastructure_layer,confidence_level,likely_new_registration_candidate,naming_wave_pattern_flag,new_registration_confidence,company_number_numeric,estimated_company_number_lower,estimated_company_number_upper,formation_number_range_confidence,estimated_incorp_period_lower,estimated_incorp_period_upper,incorporation_period_confidence
544.0,578,Choosify Limited,15430498,No,,Active,,"Office 578, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,£87,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,57.0,10.0,False,,,,,,,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,False,medium,15430498.0,15430498.0,15430498.0,known,2023,2023,known
109.0,141,Wristlets Collection Ltd,15693576,No,—,Active,,"Office 141, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,HIGH,HIGH,,,,,,No valid Companies House number in source row,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,14.0,8.0,False,,,,,,,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,False,medium,15693576.0,15693576.0,15693576.0,known,2023,2023,known
110.0,141,Wristlets Collection Ltd,15693576,No,—,Active,,"Office 141, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,,,,,,,,,,,,,secret-bases,,,none,original_or_unresolved,,,False,14.0,8.0,False,,,,,,,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,False,medium,15693576.0,15693576.0,15693576.0,known,2023,2023,known
122.0,156,Dmd Consultant Ltd,15698351,No,—,Active,,"Office 156, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,,,,,,,,,,,,,secret-bases,,,none,original_or_unresolved,,,False,15.0,10.0,False,,,,,,,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,False,medium,15698351.0,15698351.0,15698351.0,known,2023,2023,known
123.0,156,Dmd Consultant Ltd,15698351,No,—,Active,,"Office 156, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,HIGH,HIGH,,,,,,No valid Companies House number in source row,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,15.0,10.0,False,,,,,,,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,False,medium,15698351.0,15698351.0,15698351.0,known,2023,2023,known
238.0,278,Lohar Orthopedic Surgical Ltd,16084432,No,,Active,,"Office 278, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Shared office number: 2 entities,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,27.0,11.0,False,,,,,,,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,False,medium,16084432.0,16084432.0,16084432.0,known,2024,2024,known
471.0,508,H&M Marketplace Ltd Ltd,16341142,No,,Active,,"Office 508, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Shared office number: 2 entities; Address suffix variant: WV6 0SR,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,50.0,11.0,False,,,,,,,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,False,medium,16341142.0,16341142.0,16341142.0,known,2024,2024,known
486.0,522,Fastdrivve Movers Ltd,16810586,No,,Active,,"Office 522, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Shared office number: 2 entities; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,52.0,13.0,False,,,,,,,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,False,medium,16810586.0,16810586.0,16810586.0,known,2024,2024,known
489.0,524,Tick Tech Emipire Ltd,16811184,No,,Active,,"Office 524, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Shared office number: 2 entities; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,52.0,13.0,False,,,,,,,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,True,high,16811184.0,16811184.0,16811184.0,known,2024,2024,known
65.0,85,Codifyrsolutions Ltd,17058972,No,,Active,,"Office 85, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Shared office number: 2 entities; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,8.0,11.0,False,,,,,,,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,True,high,17058972.0,17058972.0,17058972.0,known,2025–2026,2025–2026,known
